Phone Number,Number Name,Landing Page,Column 4,Column 5,Column 6,Column 7
555-312-7527,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-312-3378,Calls from landing page,https://www.landingpage.com?utm_source=search,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-523-6133,Calls from landing page,https://www.landingage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-409-6008,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-602-5141,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-602-5141,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-760-6446,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-515-9017,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-416-2836,Calls from landing page,https://www.landingpage.com?utm_source=search,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-670-1303,Calls from landing page,https://www.landingpage.com?utm_source=search,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-348-8373,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-388-7377,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-570-1617,Calls from landing page,https://www.landingpage.com?utm_source=search,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-745-6650,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-602-5141,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-441-6202,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-210-3726,Calls from landing page,https://www.landingpage.com?utm_source_search,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-258-0630,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-729-2483,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-846-6880,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-349-8535,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-349-8535,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-385-9326,Calls from ads - PMax,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-229-8816,Calls from landing page,https://www.landingpage.com?utm_source=pmax,irrelavant info,irrelavant info,irrelavant info,irrelavant info
555-494-2448,Calls from ads,,irrelavant info,irrelavant info,irrelavant info,irrelavant info
